global_step,joint_sim_raw_dot_product,joint_sim_infonce_grad_norm,joint_sim_distill_grad_norm,joint_sim_corrected_cosine_similarity,joint_sim_norm_ratio,joint_rank_raw_dot_product,joint_rank_infonce_grad_norm,joint_rank_distill_grad_norm,joint_rank_corrected_cosine_similarity,joint_rank_norm_ratio,joint_embd_raw_dot_product,joint_embd_infonce_grad_norm,joint_embd_distill_grad_norm,joint_embd_corrected_cosine_similarity,joint_embd_norm_ratio
9,0.635252833366394,2.221811532974243,0.5542519688606262,0.5158603512018407,0.24945948863568687,-0.1645866930484771,2.222379684448242,1.9920639991760256,-0.03717690006265167,0.8963652849763168,-0.0124746598303318,3.34005355834961,0.4179728031158447,-0.00893567278741326,0.12513955115210004
19,0.2016938030719757,2.1265251636505127,0.5355344414710999,0.17710654961425085,0.2518354593800204,1.6397690773010254,2.1243929862976074,2.355055332183838,0.3277530319840564,1.108578001986454,-0.001283137826249,3.1253747940063477,0.4146558344364166,-0.0009901099436761737,0.13267395489066405
29,0.4253214597702026,2.2705228328704834,0.5549861192703247,0.33752760750936345,0.24443097917173978,0.862876296043396,2.270905017852783,2.105095863342285,0.1805002014489692,0.9269854295063049,-0.0092459889128804,3.4026196002960205,0.4069896936416626,-0.00667661843727356,0.11961069453848305
39,0.2921423316001892,2.2618606090545654,0.5467661023139954,0.23622566043984228,0.24173289022551128,1.6041207313537598,2.254605531692505,2.46950626373291,0.2881086857279416,1.09531633317651,-0.0008426036220043,3.391369342803955,0.4130509197711944,-0.0006015124741324866,0.12179473186771436
49,0.5775858163833618,1.920072555541992,0.531676709651947,0.5657847578918813,0.276904488904518,0.0715306550264358,1.9486799240112305,1.948458194732666,0.018839119411568333,0.9998862156499729,-0.0067647462710738,2.92574691772461,0.421293556690216,-0.005488200116922216,0.14399521508096172
59,0.356734037399292,1.98401141166687,0.5350098609924316,0.3360768488594267,0.2696606772755114,0.8313823938369751,1.988359451293945,2.201625347137451,0.18991641720515393,1.1072572143355273,-0.0049512255936861,2.950971841812134,0.422186940908432,-0.003974137175265251,0.14306708553653136
69,0.365966796875,1.932231068611145,0.5196065306663513,0.36450880466590624,0.2689153171726173,0.2875735759735107,1.9455424547195437,1.946364164352417,0.07594237337744518,1.0004223550253966,-0.0182261671870946,2.8596432209014893,0.3975850045681,-0.01603073744627973,0.13903307995280725
79,0.4472390115261078,2.047064781188965,0.565552830696106,0.38630907629359734,0.2762750040414572,0.5802232027053833,2.066779613494873,1.7983111143112185,0.15611193056008396,0.8701029865832279,0.0065491879358887,2.9612271785736084,0.3838878870010376,0.005761178318043899,0.1296381073963911
89,0.3090652227401733,2.0057458877563477,0.5239406228065491,0.29409805800752176,0.26121984145889765,0.759459912776947,2.0003468990325928,2.0737080574035645,0.18308464514946043,1.0366742180601027,-0.0069910124875605,2.9530820846557617,0.3983338475227356,-0.005943158979733518,0.13488749587845236
99,0.4246614575386047,1.873867869377136,0.49447762966156,0.4583077832195427,0.2638807344649769,-0.6358567476272583,1.9218815565109253,2.90408992767334,-0.1139259358296591,1.5110660268500429,-0.0187606960535049,2.7696282863616943,0.4167440235614776,-0.01625391861832834,0.15046929785257607
109,0.4911559224128723,1.922977924346924,0.5278699994087219,0.483858200876316,0.2745065311074726,-0.2033934593200683,2.022191286087036,1.6010427474975586,-0.06282200898775475,0.79173654763175,-0.0168872959911823,2.888092517852783,0.3969556391239166,-0.014730145551844058,0.13744561044015383
119,0.2691171765327453,2.1226487159729004,0.4953354299068451,0.2559551648435979,0.23335723248950863,0.9035465121269226,2.104801654815674,2.3806169033050537,0.18032246034570043,1.1310409690425363,0.0039061228744685,3.1246113777160645,0.4097734987735748,0.0030507458065475736,0.13114382854007875
129,0.3429268002510071,2.071813583374023,0.505413293838501,0.3274945598800187,0.24394728265822896,0.0967210680246353,2.0797250270843506,1.669951558113098,0.027849108172712227,0.8029674771256995,-0.0011459992965683,3.0165066719055176,0.410416305065155,-0.0009256684350111343,0.13605681992604257
139,0.4787612557411194,1.875723123550415,0.5147609114646912,0.49584359068706774,0.2744333132122075,-0.6479618549346924,2.0511715412139893,2.0604405403137207,-0.15331596166139222,1.004518880509743,0.0120306815952062,2.8027515411376953,0.3952793478965759,0.010859291930287746,0.14103260388757963
149,0.4987924993038177,1.74146831035614,0.4967783987522125,0.5765561842052472,0.2852641048923931,-0.774295449256897,1.969769835472107,1.568760633468628,-0.2505731552509117,0.7964182440090181,-0.0206953957676887,2.6579513549804688,0.4376432001590729,-0.017791252468990097,0.16465433023784168
159,0.2848541140556335,1.744630217552185,0.4917300343513489,0.3320415026132927,0.2818534434427451,-0.1119660064578056,1.8653987646102903,1.8736056089401243,-0.0320358554674293,1.0043995120429645,0.0061299614608287,2.524667978286743,0.4029224216938019,0.006026040371179235,0.1595942219567532
169,0.4414231181144714,1.913810133934021,0.5079964399337769,0.4540415060445233,0.2654372191506486,-0.2844407260417938,2.0717320442199707,1.4451088905334473,-0.09500744132788412,0.69753658276669,-0.0073495032265782,2.7663216590881348,0.4124569892883301,-0.006441346183209422,0.14909943242980958
179,0.2357277870178222,1.7084633111953735,0.4586434066295624,0.30083611232004737,0.26845376404873444,-0.1256001591682434,1.8129624128341677,2.2755684852600098,-0.030444684588010404,1.2551658374994434,0.0042881784029304,2.4620602130889893,0.3939290046691894,0.004421363447180696,0.15999974435026182
189,0.3128312826156616,1.7515751123428345,0.4469984471797943,0.39955391926156536,0.25519798952949707,-0.4540874660015106,1.898033618927002,1.946972131729126,-0.12287849359666007,1.025783796616727,-0.0171887166798114,2.51525354385376,0.3958408832550049,-0.017263984468453644,0.15737613578650006
199,0.3257848024368286,1.7046042680740356,0.4603126347064972,0.41519714054523654,0.2700407615584502,-0.8850391507148743,1.947649598121643,1.5642982721328735,-0.2904906052458121,0.8031723332787981,-0.0118177561089396,2.4945340156555176,0.4440230429172516,-0.010669402124259715,0.1779983917359293
209,0.3577020764350891,1.471957445144653,0.4455911517143249,0.5453679957978222,0.30272013174303114,-1.135311722755432,1.877228021621704,1.8534663915634155,-0.3262972235265195,0.9873421716570364,-0.0172309931367635,2.1637215614318848,0.4341813921928406,-0.0183416216143013,0.20066417044229692
219,0.3610655069351196,1.539950251579285,0.4167845845222473,0.5625584638038615,0.27064808366037596,-1.0212888717651367,1.9591537714004517,1.5790855884552002,-0.3301219526350585,0.8060039040868296,-0.0225224867463111,2.2876744270324707,0.4206230640411377,-0.02340609912419263,0.18386491498563554
